# --

# -- A
"Active Geolocation","Ativar Geolocalização"
"API Key","Chave da API"

# -- B

# -- C
"Close","Fechar"
"Create your account <a href=""https://developer.here.com/pricing"" target=""blank"">here</a>","Criar conta <a href=""https://developer.here.com/pricing"" target=""blank"">aqui</a>"

# -- D

# -- E

# -- F
"File sent","Arquivo enviado com sucesso."

# -- G
"General Settings","Configurações Gerais"
"Geolocation Settings","Configurações de Geolocalização"
"GeoIP Database not found.","GeoIP database não encontrado."

# -- I

# -- L

# -- N

# -- P
"PostalCode Provider","Provedor de CEP"
"PostalCode Settings","Configurações de CEP"

# -- R

# -- S
"Wait. Sending file.","Aguarde. Enviando arquivo."

# -- T

# -- U
"User Guide","Guia do usuário"
"Update Geolocation Database","Atualizar banco de dados Geolocation"
"Geolocation Database","Banco de dados Geolocation"

# -- V

# -- Y
