# --

# -- A
"API Key","Chave da API"

# -- B

# -- C
"Create API key, please &lt;a href="https://developers.google.com/places/web-service/get-api-key" target="_blank"&gt;click here&lt;/a&gt;.","Para obter a Chave da API &lt;a href="https://developers.google.com/places/web-service/get-api-key" target="_blank"&gt;clique aqui&lt;/a&gt;."
"Close","Fechar"

# -- D

# -- E

# -- F
"File sent","Arquivo enviado com sucesso."

# -- G
"General Settings","Configurações Gerais"

# -- I

# -- L

# -- N

# -- P

# -- R

# -- S
"Wait. Sending file.","Aguarde. Enviando arquivo."

# -- T

# -- U
"User Guide","Guia do usuário"
"Update Geolocation Database","Atualizar banco de dados Geolocation"
"Geolocation Database","Banco de dados Geolocation"

# -- V

# -- Y
